Name,Latitude,Longitude,Navigate
"Alrawda
",31.5349556,35.1075404,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5349556%2C35.1075404
"مسجد صلاح الدين
",31.5085888,35.0805404,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5085888%2C35.0805404
"Al Sabireen Mosque
",31.5158357,35.1060543,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5158357%2C35.1060543
"Othman Mosque
",31.6486063,35.0649852,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.6486063%2C35.0649852
"Mosque
",31.5987749,35.0139605,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5987749%2C35.0139605
"Al-Omari Mosque
",31.6518025,35.0639915,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.6518025%2C35.0639915
"Al Farouq Mosque
",31.5169391,35.1082014,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5169391%2C35.1082014
"Al-Saliheen Mosque
",31.4539271,35.1207266,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.4539271%2C35.1207266
"Rantees Mosque
",32.0269688,35.0179372,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0269688%2C35.0179372
"Fatima Alzahra Mosque
",31.8384687,35.1542052,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.8384687%2C35.1542052
"Selwad Old Mosque
",31.9863239,35.2578809,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.9863239%2C35.2578809
"Turmus Ayaa Mosque
",32.0303018,35.2890877,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0303018%2C35.2890877
"Dair Jreer Mosque
",31.9645896,35.2957,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.9645896%2C35.2957
"Al Abrar Mosque
",31.8261736,35.107613,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.8261736%2C35.107613
"Alrodwan Mosque
",32.0396882,35.1665562,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0396882%2C35.1665562
"Ain Yabrud mosque
",31.9554097,35.2443511,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.9554097%2C35.2443511
